PKC,PKA,Raf,Mek,P38,Jnk,Akt,Erk
8.58,1219.0,50.5,28.1,53.3,12.5,51.9,31.6
3.46,349.0,84.3,34.6,12.1,62.1,21.5,13.5
4.18,1794.0,62.6,24.1,12.6,93.1,93.1,40.7
14.1,2458.0,63.8,21.7,32.5,14.5,233.0,100.0
8.2,557.0,43.3,21.7,34.3,165.0,14.9,8.98
20.5,478.0,79.1,25.5,32.8,14.2,19.8,8.9
18.9,828.0,10.8,15.0,31.9,10.1,14.7,1.22
16.7,253.0,78.4,22.1,25.9,10.6,22.9,12.3
15.8,392.0,90.6,49.1,24.1,11.1,31.9,22.9
4.03,770.0,552.0,389.0,13.5,26.7,25.9,17.8
45.7,717.0,40.7,24.6,85.8,39.6,50.5,23.5
3.65,319.0,60.4,12.7,23.3,55.7,31.1,12.7
3.52,382.0,50.5,21.1,8.43,71.7,38.9,25.3
23.1,843.0,117.0,38.9,36.8,15.1,29.2,15.1
21.7,1346.0,61.0,21.7,36.2,16.4,20.5,10.6
11.4,334.0,92.2,42.2,29.2,70.4,17.0,4.0
18.9,594.0,11.0,9.31,44.1,22.7,26.2,15.5
4.18,331.0,170.0,86.6,23.9,93.9,43.3,29.2
16.8,939.0,54.2,21.9,40.0,14.9,127.0,36.2
4.96,552.0,18.1,23.5,41.4,292.0,28.4,14.7
27.6,538.0,34.9,21.7,57.3,20.4,17.6,7.23
17.2,730.0,179.0,164.0,25.9,17.9,30.0,17.5
2.05,316.0,83.5,48.7,15.0,71.7,31.1,17.6
5.47,523.0,89.0,31.6,21.7,54.7,58.8,4.0
15.7,1946.0,58.8,37.9,29.4,9.91,63.8,34.9
24.8,470.0,31.9,11.4,39.6,30.8,28.9,14.9
10.2,457.0,46.6,19.5,32.8,22.1,31.6,5.38
6.79,244.0,37.9,10.6,14.6,66.1,28.4,14.6
58.3,302.0,73.0,20.0,111.0,170.0,23.1,2.25
15.4,1794.0,42.2,17.9,49.6,200.0,106.0,24.1
12.0,359.0,87.4,57.3,20.4,6.98,27.4,24.4
19.6,470.0,41.0,17.0,38.5,19.6,16.8,10.4
32.2,115.0,50.9,35.2,49.6,18.8,12.4,3.96
4.74,698.0,10.8,19.3,10.1,69.8,10.8,5.19
13.5,400.0,77.7,48.7,22.7,14.6,33.1,11.0
17.6,1625.0,74.3,30.5,27.9,17.9,276.0,126.0
12.4,956.0,40.7,55.7,26.7,15.0,84.3,53.3
10.1,562.0,77.0,20.4,25.5,26.7,12.4,3.55
21.3,414.0,14.3,5.42,33.1,23.1,21.9,8.2
93.9,403.0,51.9,33.7,170.0,40.0,35.9,20.9
28.9,1334.0,33.4,24.1,69.2,47.0,102.0,44.9
20.0,389.0,75.0,46.6,31.1,11.5,19.8,6.55
8.51,791.0,1.61,11.4,30.8,155.0,81.3,49.6
3.4,334.0,53.3,21.5,27.6,79.1,26.2,9.47
26.4,207.0,85.1,32.2,38.9,11.8,27.9,3.02
9.73,717.0,50.9,28.6,19.3,14.7,60.4,29.4
16.1,615.0,25.9,22.9,33.7,17.5,14.9,5.57
10.6,403.0,85.8,62.1,14.3,12.2,24.6,12.9
4.7,588.0,94.7,37.5,17.2,28.4,46.6,25.5
15.5,81.3,40.0,18.4,27.6,15.7,16.4,6.15
2.0,396.0,77.0,46.1,76.4,14.3,25.9,16.1
1.32,239.0,28.6,22.5,36.2,1.79,29.2,20.0
11.1,322.0,92.2,56.2,20.0,18.9,9.39,9.14
23.9,965.0,14.6,11.0,35.2,5.19,25.9,8.35
10.9,319.0,54.2,17.9,23.9,13.2,41.8,27.1
1.95,276.0,29.7,18.9,79.1,4.87,9.65,2.76
8.06,474.0,31.1,23.9,21.7,6.61,30.2,16.4
19.5,302.0,75.0,21.1,36.8,12.6,28.4,18.1
25.7,1252.0,42.9,23.1,27.9,17.9,45.3,19.1
34.0,297.0,82.8,26.9,71.7,33.7,25.3,17.6
5.52,685.0,426.0,255.0,6.44,3.62,16.3,7.77
18.9,269.0,54.2,33.4,46.6,18.3,33.1,20.9
18.4,542.0,88.2,19.5,33.4,14.1,16.5,4.57
10.4,835.0,12.4,21.1,21.5,8.06,33.7,16.0
1.18,297.0,147.0,85.1,8.82,41.8,27.9,21.1
1.6,1.95,58.8,24.1,5.38,5.38,10.6,2.21
21.1,42.9,48.3,12.3,34.3,18.6,19.5,1.55
3.11,331.0,107.0,50.0,12.1,33.7,27.1,20.9
3.65,407.0,79.9,122.0,20.7,59.9,22.7,10.7
22.3,375.0,77.0,36.2,35.9,11.7,27.9,15.0
14.1,231.0,52.3,34.9,18.8,11.5,35.5,23.9
21.1,179.0,69.8,23.1,47.8,22.7,38.5,24.8
28.6,519.0,84.3,33.7,55.2,16.7,13.1,9.82
13.7,368.0,59.9,30.5,25.0,14.3,22.3,10.4
18.4,1241.0,47.0,25.9,35.2,22.9,46.6,23.5
22.1,461.0,74.3,16.5,49.1,14.2,37.5,22.3
17.6,191.0,8.28,19.3,38.2,20.9,44.1,26.2
8.9,573.0,66.1,53.8,11.4,38.5,15.7,5.19
28.4,743.0,47.0,23.1,47.8,19.3,30.0,11.3
3.82,294.0,23.5,27.4,19.5,155.0,28.4,18.1
14.2,496.0,12.3,6.38,34.0,13.5,18.8,3.11
31.1,316.0,15.8,10.5,46.6,19.6,32.5,17.5
17.2,385.0,21.1,25.3,29.4,11.7,31.9,20.2
6.21,359.0,12.7,10.2,29.4,27.1,25.7,20.0
7.17,2035.0,15.0,13.2,17.2,12.6,44.1,11.2
22.7,204.0,69.2,28.6,38.2,10.4,14.5,1.81
15.8,470.0,9.65,3.05,20.7,7.91,46.1,28.1
29.4,362.0,43.7,21.5,52.8,38.9,15.3,6.79
3.34,578.0,32.2,21.5,23.3,83.5,175.0,96.5
15.3,1611.0,37.9,12.3,39.2,23.1,46.6,16.7
11.2,1310.0,48.3,33.7,27.9,20.9,32.5,7.5
4.57,692.0,33.1,17.3,18.4,3.02,41.8,11.5
23.7,403.0,45.7,28.9,43.3,8.28,13.3,5.88
28.4,418.0,22.1,5.78,57.8,20.2,19.5,7.1
25.0,922.0,40.0,16.0,59.9,35.9,17.2,5.19
2.44,343.0,31.1,20.2,6.92,73.7,54.2,42.6
16.1,505.0,97.3,36.5,31.6,14.9,40.7,4.74
10.7,1625.0,31.9,23.9,18.4,10.3,93.9,56.2
17.5,547.0,38.2,13.9,39.6,16.7,17.5,14.1
42.6,470.0,51.4,25.7,58.3,2.97,14.9,7.04
12.0,1894.0,56.2,19.8,23.5,16.3,71.7,16.8
15.8,250.0,75.0,26.4,28.9,12.4,30.0,19.6
35.2,573.0,55.7,23.9,63.2,17.8,21.7,16.4
1.19,604.0,50.9,31.6,63.8,7.5,14.2,1.22
19.3,292.0,83.5,26.9,47.0,20.4,22.9,18.3
6.44,621.0,67.9,28.4,13.1,77.0,173.0,119.0
19.6,396.0,57.3,26.7,39.6,16.8,9.56,1.89
8.9,163.0,34.9,54.7,31.9,33.7,77.0,19.6
18.8,1252.0,66.7,24.8,36.5,25.9,61.0,30.8
18.8,685.0,39.6,45.3,34.6,22.3,30.5,10.1
10.3,319.0,47.4,27.9,27.1,5.78,16.7,5.0
32.2,19.6,40.7,22.3,64.9,51.9,29.7,6.38
15.4,316.0,52.3,25.0,41.0,146.0,17.9,17.6
1.39,372.0,18.9,15.0,50.0,6.32,28.4,21.9
3.19,784.0,41.0,23.1,21.9,65.5,37.2,21.3
12.9,267.0,47.0,33.7,34.6,13.7,35.5,18.6
9.56,407.0,33.1,19.3,16.0,9.91,30.2,27.6
3.65,331.0,20.2,15.5,11.5,83.5,33.4,16.3
27.6,284.0,75.0,32.2,47.8,30.2,25.5,21.3
3.13,302.0,25.0,10.7,18.4,71.0,19.1,11.0
2.21,528.0,5.57,13.0,24.1,69.2,27.4,16.4
6.1,552.0,21.5,9.73,19.3,6.92,16.8,2.71
23.1,313.0,53.3,22.5,38.9,16.7,34.3,21.3
4.57,947.0,59.9,26.9,18.8,133.0,49.6,18.6
10.9,478.0,54.2,23.3,25.0,5.28,33.4,17.5
3.34,359.0,90.6,38.9,19.3,97.3,34.6,25.7
11.0,359.0,73.0,30.2,29.7,114.0,22.9,13.8
13.6,271.0,38.9,14.9,31.9,14.7,21.5,21.5
19.3,325.0,21.5,12.7,25.3,9.65,44.9,25.3
12.1,375.0,64.9,46.6,27.1,7.99,31.1,24.1
15.8,264.0,27.1,18.1,28.9,11.1,39.6,21.3
10.3,349.0,57.8,27.4,26.7,9.73,32.5,28.1
12.1,813.0,39.2,13.2,27.6,10.2,72.3,45.3
15.0,461.0,40.7,24.8,22.1,48.7,30.5,13.7
17.5,365.0,31.6,17.5,23.1,20.5,13.2,6.61
40.7,698.0,88.2,39.6,73.7,45.7,24.1,6.21
2.48,552.0,99.1,53.3,7.91,89.0,70.4,38.5
29.4,588.0,91.4,18.3,77.0,200.0,55.2,29.2
5.94,223.0,50.0,28.1,24.4,103.0,40.0,27.6
2.21,23.9,47.0,30.2,22.7,80.6,14.1,2.11
3.34,193.0,53.8,22.1,14.5,77.0,34.9,11.7
16.1,557.0,32.2,17.6,31.1,18.4,22.5,9.56
22.7,392.0,66.7,44.1,37.9,17.9,34.0,15.4
22.1,382.0,40.3,14.6,36.2,17.8,29.2,19.1
26.9,1104.0,14.3,8.43,44.1,13.6,33.4,9.47
2.62,396.0,57.3,35.5,27.9,8.9,38.5,19.5
1.76,195.0,2.97,7.23,8.43,75.0,25.5,17.5
1.53,355.0,13.1,1.53,19.3,75.7,24.6,12.6
5.67,237.0,95.6,33.1,16.0,82.8,44.5,34.3
17.0,400.0,36.5,19.3,35.9,13.5,106.0,13.2
12.2,328.0,91.4,26.2,22.9,3.02,36.2,20.2
11.9,1219.0,70.4,41.4,22.7,15.8,77.7,43.7
20.9,259.0,73.7,29.4,35.9,9.14,32.2,13.2
14.6,403.0,142.0,107.0,21.7,11.9,45.7,26.4
20.7,982.0,34.0,13.3,28.9,9.65,39.2,4.41
14.5,632.0,82.8,35.2,25.0,11.8,26.9,7.99
6.04,334.0,53.8,23.9,12.9,75.7,10.5,9.22
11.2,389.0,62.6,43.3,18.9,10.9,10.6,3.75
5.62,578.0,42.6,22.7,22.3,102.0,87.4,56.2
4.18,483.0,25.9,11.7,19.3,40.3,42.9,16.7
5.28,470.0,50.5,32.2,13.2,36.2,46.1,27.4
11.2,407.0,8.66,5.38,28.1,163.0,18.1,19.5
15.7,334.0,31.9,22.1,35.2,12.0,20.7,12.7
17.9,655.0,31.9,22.5,44.1,14.7,25.9,7.43
8.35,757.0,43.3,21.7,26.4,13.0,12.3,2.81
1.0,352.0,56.2,34.9,3.82,5.14,37.9,19.6
1.55,483.0,47.8,34.9,25.3,87.4,19.1,9.56
14.2,334.0,14.3,22.3,26.4,10.3,21.9,5.52
5.09,478.0,31.6,23.5,12.1,50.5,16.8,10.3
2.09,939.0,58.8,19.1,13.9,61.0,45.7,9.65
11.0,264.0,34.0,20.2,27.4,36.8,25.0,16.3
1.63,308.0,37.9,32.8,21.5,95.6,73.7,44.9
26.2,1186.0,31.6,21.7,58.3,19.5,49.6,14.7
6.32,1114.0,102.0,50.0,18.1,101.0,57.3,17.0
18.3,264.0,25.3,14.5,35.9,5.14,66.1,47.4
27.1,403.0,14.7,44.9,49.6,21.1,65.5,45.7
6.32,1155.0,41.4,20.7,16.4,9.31,21.5,7.84
19.5,368.0,20.7,8.98,38.5,14.3,23.5,14.6
8.58,407.0,15.5,26.2,21.3,34.6,28.4,8.74
3.08,973.0,56.2,34.9,15.3,60.4,22.7,7.3
5.94,271.0,23.5,23.9,19.5,18.3,31.6,15.8
20.2,1134.0,73.7,14.1,23.1,8.9,47.4,25.3
22.3,1407.0,55.2,20.7,28.1,21.5,41.4,14.5
43.7,372.0,32.2,21.3,59.9,19.5,17.8,4.14
2.74,1358.0,65.5,38.5,13.9,98.2,110.0,59.9
16.7,414.0,28.6,47.4,31.1,11.2,20.2,12.4
1.68,7.43,28.9,16.5,91.4,3.55,18.9,4.7
19.5,284.0,25.5,15.8,34.9,20.5,27.4,16.0
16.5,426.0,37.2,25.3,26.7,6.79,16.8,7.77
7.7,626.0,79.9,28.6,25.7,189.0,52.8,29.2
12.1,379.0,43.3,15.5,24.6,16.3,30.5,20.2
4.0,453.0,36.2,20.7,9.91,54.7,21.3,10.6
4.07,362.0,77.7,40.0,21.5,136.0,39.2,10.9
12.5,337.0,89.0,24.4,25.9,8.13,11.3,9.73
3.4,284.0,114.0,26.7,13.9,1.0,20.5,13.0
5.83,362.0,63.8,22.1,21.9,34.9,31.3,17.6
30.5,519.0,37.2,11.1,82.8,19.1,73.7,15.7
24.8,422.0,75.0,44.5,35.2,6.61,14.5,6.67
25.7,343.0,68.5,21.9,56.7,21.5,15.8,8.51
15.7,392.0,23.1,12.1,26.4,16.5,29.4,14.1
6.32,806.0,55.2,32.8,11.7,54.7,49.1,24.1
11.0,542.0,12.6,8.06,29.7,89.8,23.5,8.28
7.57,422.0,102.0,79.9,42.2,149.0,11.1,5.33
10.3,274.0,79.9,28.9,16.1,67.9,29.7,24.1
33.1,178.0,83.5,31.1,66.1,34.9,25.3,12.0
3.96,239.0,80.6,40.7,7.17,82.0,33.4,20.2
106.0,113.0,58.3,46.1,153.0,34.3,1.7,4.57
12.2,271.0,61.0,27.9,19.3,9.47,30.5,12.9
8.43,1176.0,50.9,15.0,21.9,15.4,82.8,44.1
33.1,429.0,15.3,16.7,51.4,17.8,22.5,9.47
26.2,453.0,49.1,24.6,37.9,17.6,24.4,12.3
21.1,407.0,42.9,24.6,44.9,18.8,41.8,22.5
7.84,523.0,57.3,30.8,24.1,92.2,27.4,15.5
3.02,334.0,14.5,40.7,20.0,79.1,33.1,15.3
12.1,1731.0,89.8,19.3,24.6,8.74,79.9,43.7
2.04,717.0,58.8,17.6,30.5,86.6,69.2,17.3
20.2,410.0,139.0,110.0,40.0,19.3,40.7,20.7
16.3,241.0,36.5,18.4,36.5,20.9,13.0,4.22
3.79,365.0,18.8,19.5,10.9,73.7,23.1,10.5
21.9,414.0,35.9,15.1,53.8,27.1,23.7,10.1
2.02,294.0,36.8,19.6,11.1,86.6,21.5,11.5
18.6,331.0,62.6,27.6,39.6,12.9,14.1,7.77
18.9,213.0,52.8,28.4,32.2,19.5,30.8,16.4
27.9,331.0,51.9,24.4,61.0,32.8,20.7,10.8
1.0,294.0,8.43,19.8,101.0,6.21,26.7,15.7
24.8,328.0,37.2,16.7,41.4,32.8,24.8,9.39
12.2,359.0,69.2,37.2,26.4,59.4,28.1,13.6
12.0,355.0,24.6,16.0,47.0,191.0,29.2,16.8
29.2,400.0,42.9,20.5,37.9,15.4,11.1,4.03
21.9,311.0,84.3,18.6,36.8,13.7,13.0,5.99
16.3,257.0,48.3,36.8,27.4,10.8,44.1,29.7
2.53,346.0,31.1,12.6,12.5,82.8,41.0,27.4
1.88,573.0,37.5,31.1,33.1,54.7,37.2,18.8
19.6,418.0,27.6,20.2,35.9,22.5,12.1,8.35
8.13,1230.0,37.9,13.7,18.8,10.6,78.4,54.2
23.1,649.0,150.0,55.7,42.2,20.4,88.2,51.9
9.31,365.0,51.4,22.5,14.9,41.8,32.8,16.8
30.5,271.0,38.5,19.1,58.8,59.4,33.7,29.4
18.1,1472.0,63.2,37.2,30.8,9.73,621.0,316.0
5.94,851.0,26.9,19.8,30.0,239.0,30.2,13.1
20.5,505.0,26.9,14.7,39.2,25.7,19.8,9.39
12.5,150.0,61.0,17.3,52.8,264.0,126.0,20.7
33.7,300.0,51.9,23.5,55.2,38.2,37.2,22.5
23.3,204.0,34.6,14.5,48.7,47.8,26.7,22.1
7.84,267.0,97.3,28.4,54.7,343.0,26.4,15.5
11.3,1446.0,6.26,21.1,18.9,9.91,15.5,6.15
23.3,85.1,17.5,36.2,66.1,12.1,39.6,10.3
25.9,1144.0,2.74,3.96,50.5,113.0,71.7,47.0
5.38,491.0,48.3,28.6,38.5,121.0,16.5,5.67
17.2,407.0,53.8,38.5,26.4,19.3,15.8,8.06
3.49,414.0,62.1,20.7,33.7,204.0,24.8,9.31
11.5,599.0,61.5,26.2,18.4,6.55,20.0,18.4
23.1,375.0,62.6,37.5,47.0,26.2,14.1,12.9
2.69,255.0,103.0,37.9,44.5,1.95,32.8,17.0
8.58,331.0,40.7,9.39,20.0,7.99,19.5,6.44
11.2,337.0,107.0,27.9,24.6,10.4,27.4,14.2
4.26,286.0,106.0,55.2,15.7,71.7,30.0,19.1
26.7,991.0,41.0,28.4,43.3,23.5,90.6,15.7
32.5,704.0,18.9,11.0,41.4,13.9,239.0,153.0
13.6,331.0,35.2,23.5,36.2,10.1,12.9,9.47
2.15,400.0,39.6,17.3,93.9,3.37,18.1,12.2
19.5,649.0,17.0,6.73,39.6,7.37,29.2,3.59
8.06,382.0,92.2,31.3,20.5,7.3,12.1,5.88
15.8,661.0,25.5,18.9,37.9,18.4,13.6,8.43
11.1,382.0,63.8,28.6,22.7,30.0,26.7,20.9
17.9,445.0,22.5,44.5,40.0,12.7,27.1,22.7
15.7,519.0,38.9,14.3,24.6,23.5,5.19,5.23
15.1,547.0,20.5,6.79,35.2,12.9,20.5,13.2
4.41,1084.0,89.8,40.7,12.3,60.4,51.9,23.3
19.3,562.0,109.0,69.2,35.9,30.2,107.0,75.7
28.4,947.0,62.1,25.0,49.1,5.67,52.3,31.1
27.4,352.0,37.5,19.5,34.3,17.8,25.7,15.8
13.3,461.0,64.4,22.3,20.9,10.8,21.7,11.8
12.0,1346.0,30.0,24.8,30.5,16.8,33.1,16.8
36.8,1046.0,35.2,16.1,98.2,62.1,14.3,10.3
23.7,250.0,60.4,15.5,40.0,29.7,21.3,8.43
37.2,461.0,34.9,31.6,59.4,32.5,34.6,10.6
31.3,407.0,47.4,34.6,50.9,33.1,10.9,7.37
6.85,461.0,18.1,29.2,11.5,29.7,16.8,12.3
8.06,352.0,52.3,32.5,28.9,4.83,32.8,18.1
11.4,365.0,66.1,24.6,39.6,92.2,22.3,13.1
11.0,346.0,18.6,29.2,23.5,15.3,21.1,17.9
8.66,63.8,38.9,23.3,21.7,26.9,12.6,2.19
16.0,784.0,92.2,16.7,28.6,8.2,76.4,55.2
11.4,1155.0,139.0,56.7,31.1,34.3,43.3,17.9
3.85,319.0,92.2,36.5,18.1,23.5,32.2,24.8
1.58,813.0,78.4,30.5,18.8,54.7,31.9,4.22
4.26,223.0,23.9,23.7,41.8,136.0,33.7,16.8
1.78,1526.0,92.2,30.8,22.5,84.3,51.9,26.9
17.6,429.0,35.9,28.1,27.6,11.2,12.6,6.26
9.91,355.0,64.4,18.1,20.9,6.32,34.0,16.3
29.7,594.0,82.0,28.1,47.8,83.5,17.8,8.43
11.1,319.0,55.2,20.4,27.4,4.37,34.0,23.3
33.1,382.0,39.2,26.2,89.8,30.0,24.8,15.4
11.5,679.0,66.1,33.4,23.3,26.4,28.1,11.0
9.73,441.0,62.6,23.9,27.4,53.8,27.1,9.82
1.47,292.0,53.8,15.0,9.39,71.0,38.5,22.3
35.5,217.0,17.5,15.5,77.0,20.0,36.5,15.4
10.7,1027.0,53.3,24.1,20.7,10.2,45.7,23.7
17.8,583.0,33.1,17.0,39.6,21.5,25.3,15.8
23.3,308.0,71.7,25.9,46.1,31.6,35.5,20.5
24.1,322.0,29.4,16.7,34.3,12.9,22.5,13.6
24.6,429.0,62.1,24.4,37.5,24.1,21.3,8.43
1.0,679.0,48.7,20.7,85.1,9.47,36.8,12.3
18.4,491.0,50.9,18.4,39.2,12.5,18.1,8.9
18.8,1486.0,13.0,4.37,46.1,20.0,31.1,7.23
4.18,418.0,50.5,25.7,40.7,68.5,20.5,9.65
10.0,274.0,38.5,15.8,32.8,14.2,25.5,20.2
24.4,441.0,42.2,44.1,34.6,8.82,54.7,28.9
15.3,349.0,104.0,32.8,27.1,15.1,35.5,21.5
4.61,267.0,110.0,53.8,47.0,33.7,42.2,27.1
18.6,269.0,34.0,26.9,40.7,14.6,31.9,24.6
22.9,466.0,91.4,39.2,36.5,17.0,21.1,6.79
3.55,523.0,35.5,37.5,16.5,69.8,17.3,4.87
14.5,1346.0,55.2,14.1,26.9,9.22,76.4,33.1
14.6,4491.0,37.5,16.4,36.2,24.4,3555.0,2571.0
28.9,392.0,42.2,22.9,38.5,21.1,25.9,16.4
2.41,704.0,49.1,35.2,19.1,105.0,71.0,42.2
30.5,704.0,67.9,25.9,55.7,40.0,32.2,9.47
31.3,168.0,59.4,39.6,50.5,20.2,23.3,7.3
8.06,300.0,34.3,21.9,21.3,5.99,31.6,10.5
24.4,331.0,164.0,41.0,41.0,12.3,49.6,41.4
25.9,155.0,36.5,8.82,40.7,19.1,26.4,16.4
2.69,610.0,48.7,32.8,35.5,58.8,14.3,1.54
10.7,478.0,76.4,32.2,20.4,3.49,22.5,11.4
21.9,470.0,25.7,20.5,36.8,14.5,86.6,47.0
1.0,2091.0,12.0,13.7,98.2,4.74,111.0,65.5
16.5,441.0,112.0,18.8,27.9,15.0,30.0,10.9
5.99,449.0,82.0,55.7,15.8,1.0,12.5,5.42
30.5,528.0,47.0,18.1,40.7,10.9,36.2,19.3
20.7,250.0,59.9,21.7,26.4,12.4,31.1,19.6
39.6,343.0,31.1,12.2,80.6,39.2,9.56,6.73
10.8,302.0,37.5,20.0,28.1,7.57,39.2,20.9
19.1,297.0,55.7,16.8,33.1,31.1,24.6,16.0
11.1,289.0,8.43,17.8,28.6,16.3,19.6,8.51
34.3,1512.0,59.4,18.8,76.4,34.0,55.7,24.6
2.5,806.0,69.8,30.5,23.5,57.8,28.1,10.6
11.2,649.0,40.3,15.5,26.2,10.4,43.7,26.4
11.3,300.0,38.9,9.82,20.9,4.03,28.9,14.6
15.4,449.0,31.3,23.5,25.9,16.1,14.2,6.49
2.71,63.2,72.3,17.2,21.1,97.3,37.5,7.17
12.4,414.0,48.3,15.5,14.9,13.8,18.6,11.5
5.78,505.0,18.6,10.3,13.9,71.7,13.9,7.84
10.2,34.0,54.2,13.7,25.5,9.06,14.5,5.28
1.37,284.0,33.4,13.6,18.9,63.2,34.0,26.4
14.5,1208.0,37.2,16.4,22.1,2.27,59.4,26.4
4.1,319.0,43.3,16.4,24.1,5.33,25.0,22.5
21.1,119.0,64.9,32.2,36.8,22.9,12.2,3.65
24.4,286.0,78.4,38.2,45.7,34.6,32.5,17.5
4.57,375.0,38.2,13.5,40.7,79.1,20.5,10.8
18.6,638.0,20.5,15.0,38.2,13.9,27.6,2.71
24.1,346.0,54.2,46.1,42.6,32.5,37.5,18.6
8.2,316.0,45.3,18.8,23.3,24.6,32.2,18.3
37.9,599.0,41.0,21.3,54.7,22.3,132.0,71.7
8.66,311.0,46.1,27.9,24.4,1.64,39.6,17.5
12.7,505.0,22.3,20.9,29.4,12.2,14.9,6.61
2.79,322.0,14.2,12.3,8.82,39.2,13.6,6.61
28.6,737.0,47.8,30.2,42.2,22.1,39.6,9.22
43.7,519.0,33.7,11.1,89.0,22.9,21.5,9.65
12.6,655.0,72.3,26.2,27.9,18.4,17.2,4.57
7.43,319.0,50.9,22.7,24.4,66.7,32.2,21.7
4.49,183.0,126.0,58.8,25.9,95.6,22.5,9.22
34.3,777.0,35.2,17.2,45.3,16.3,43.7,4.83
8.43,441.0,26.4,16.0,25.7,107.0,17.3,8.43
19.1,1114.0,69.8,44.5,48.3,25.3,66.7,42.9
18.3,284.0,24.1,17.2,38.9,12.7,29.4,12.6
11.0,176.0,4.87,14.5,22.5,5.88,39.6,20.5
4.29,461.0,56.7,24.1,13.2,62.1,21.9,7.5
7.7,457.0,15.4,26.4,19.3,14.2,25.0,15.4
17.0,519.0,46.1,23.5,26.4,18.4,14.2,5.42
22.7,365.0,41.0,18.1,34.6,11.2,28.1,17.5
14.2,300.0,41.4,30.5,24.8,22.9,43.7,20.4
5.42,229.0,65.5,33.7,30.0,94.7,28.4,14.2
28.4,638.0,60.4,34.0,42.6,17.6,71.0,41.4
3.02,414.0,77.0,20.7,14.2,62.6,35.5,20.9
22.9,1334.0,63.8,23.7,54.7,17.8,100.0,51.4
24.8,474.0,104.0,38.2,27.6,9.73,23.5,14.3
4.03,349.0,70.4,38.9,10.9,18.8,42.2,24.4
18.8,279.0,77.7,79.1,42.2,20.7,25.3,14.9
33.4,496.0,78.4,28.6,74.3,29.7,26.2,12.4
27.1,274.0,19.8,36.5,38.2,6.61,39.6,18.6
3.89,316.0,56.2,26.9,14.7,77.0,37.9,24.4
51.9,269.0,322.0,231.0,92.2,79.1,72.3,46.6
25.9,359.0,46.6,21.3,39.6,16.4,75.0,46.1
14.9,743.0,33.4,20.5,26.2,14.2,45.3,18.8
28.4,294.0,93.1,33.4,66.1,41.8,40.7,31.9
3.43,259.0,111.0,49.1,12.3,62.6,25.3,12.7
27.4,437.0,33.4,17.0,35.5,20.0,18.4,3.62
13.3,509.0,33.1,28.9,21.3,11.4,41.8,18.9
13.1,449.0,50.0,15.7,34.9,73.0,29.4,15.4
20.7,334.0,52.8,20.7,38.2,17.6,8.58,1.29
11.7,372.0,90.6,33.4,17.0,12.7,34.9,17.3
7.43,229.0,86.6,15.8,38.2,89.0,31.9,21.1
22.7,578.0,40.3,22.5,43.3,11.4,20.5,7.99
23.1,305.0,18.8,10.3,36.2,15.1,52.3,36.5
33.1,63.2,13.7,13.9,36.8,2.13,15.8,4.74
1.1,35.9,60.4,83.5,19.1,51.9,18.8,5.67
46.1,523.0,70.4,23.7,90.6,59.4,29.4,10.8
6.92,334.0,27.9,3.62,15.7,127.0,39.6,24.1
1.65,253.0,47.8,31.3,28.6,55.2,29.2,23.1
23.3,626.0,29.4,25.9,52.8,29.2,41.4,21.3
9.73,858.0,86.6,24.4,20.0,16.7,173.0,91.4
16.8,422.0,126.0,105.0,25.7,18.4,18.4,7.1
10.6,319.0,54.2,26.9,23.3,15.1,35.5,18.4
9.31,542.0,34.6,13.8,10.6,34.0,17.0,8.28
8.74,649.0,62.1,22.3,19.3,17.0,38.5,11.2
18.4,939.0,60.4,22.1,48.7,168.0,20.2,5.47
9.82,723.0,84.3,23.1,28.4,14.1,32.2,6.79
5.05,757.0,43.3,22.1,10.7,41.4,13.2,7.04
18.1,426.0,66.1,28.4,31.1,10.6,27.6,10.1
15.5,385.0,25.5,13.2,30.0,84.3,31.3,7.91
10.6,799.0,32.8,12.6,17.3,7.5,51.4,28.9
20.9,649.0,19.5,49.6,44.9,16.8,31.6,17.3
19.3,2072.0,46.6,22.1,38.2,25.3,99.1,62.6
1.76,410.0,41.4,11.7,28.6,82.8,43.3,24.8
21.9,562.0,42.2,27.6,29.7,8.28,15.8,8.28
11.9,319.0,62.1,21.7,35.5,50.9,23.1,15.3
14.5,239.0,103.0,32.2,22.9,5.23,5.62,5.28
32.2,289.0,77.7,23.7,83.5,27.1,25.0,21.5
20.9,478.0,46.6,15.0,36.8,9.65,20.0,6.1
